rf,lr,NR,XGB,LGBM,Cat,SGD,Kernel,EN,Bay,GBR,SVR,STR
1.1491,0.50130398,1.6,0.399074,0.624978028,0.399850257,0.672391839,0.39396183,0.566024984,0.500941561,0.316337376,0.952290814,1.4
0.55805,0.44762301,1.15,0.500265,0.117058777,0.499989833,0.613069692,0.32008108,0.514188262,0.446098732,0.558904673,0.000130001,0.423333333
0.434539264,0.70213436,0.41,0.410139,0.624978028,0.410082121,0.158282561,0.68363435,0.760664669,0.704884479,0.446088539,0.229649008,0.388571429
0.462,0.64654322,0.385,0.3701334,0.624978028,0.369997155,0.920435312,0.6055092,0.716572387,0.652988275,0.455969337,0.870268345,0.423333333
0.416149524,0.52598001,1.1,0.3995727,0.624978028,0.400257075,0.765106435,0.43455023,0.59465732,0.527719129,0.41505544,0.023764879,0.388571429
0.412503333,0.29239359,0.86,0.4193026,0.111512241,0.41995358,0.683769302,0.16926051,0.435190266,0.314812134,0.419124535,0.164386877,0.388571429
1.72472,1.78495893,1,0.899573,0.776810803,0.900044609,0.874725307,1.64483217,0.741536055,0.777304651,0.804009063,0.747779844,1.665111111
1.787126667,1.69382151,1.8,0.79992,0.771264267,0.7999491,0.713128176,1.53402749,0.677902559,0.694411283,0.727673216,0.551445081,1.665111111
1.482986667,1.63097595,1.5,0.500252,0.771264267,0.499976353,0.963249168,1.48281716,0.644730619,0.639501303,0.521063536,0.999661385,1.665111111
1.20706,0.83870383,1.765,0.129992,0.395868797,0.130040808,0.995689125,0.93382993,0.211427749,0.977442032,0.208452415,0.629371376,1.13
1.178706667,0.63225254,1.9,0.291028,0.395868797,0.013999144,0.322210187,0.66750471,0.066640593,0.791178425,0.233368963,0.320535515,1.665111111
1.13306,0.68199028,2.48,0.860858,0.096137524,0.860316033,0.076697596,0.66714454,0.03936263,0.813241217,0.000242903,0.203622586,1.08
1.205193333,0.80003275,2.3,0.149906,0.395868797,0.118597121,0.252700866,0.83110045,0.152368443,0.933178842,0.256208726,0.101576274,1.08
1.1491,0.50130398,1.6,0.399074,0.624978028,0.399850257,0.672391839,0.39396183,0.566024984,0.500941561,0.316337376,0.952290814,1.4
0.59352,0.38111045,0.85,0.699614,0.619431492,0.699875381,0.979990263,0.42606909,0.469182363,0.397318448,0.623204903,0.839594611,0.7
0.4422,0.25926281,1.1,0.0998922,0.619431492,0.10019819,0.104335934,0.26488477,0.343188772,0.26796828,0.254528511,0.426368358,0.15
